City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,lieksa,63.3167,30.0167,-0.84,96,100,8.19,FI,1675048068
263,grand gaube,-20.0064,57.6608,26.32,90,100,2.39,MU,1675048069
264,huarmey,-10.0681,-78.1522,21.87,83,91,2.45,PE,1675048069
265,jaciara,-15.9653,-54.9683,21.13,92,86,1.25,BR,1675048070
266,hinganghat,20.5667,78.8333,22.76,41,12,2.03,IN,1675048070
267,blagoyevo,63.3667,47.9167,-10.2,94,98,3.81,RU,1675048071
268,benjamin aceval,-24.9667,-57.5667,26.08,93,60,1.15,PY,1675048072
269,darhan,49.4867,105.9228,-15.23,87,100,1.92,MN,1675048072
270,entre rios,-11.9419,-38.0844,20.69,96,2,0.82,BR,1675048073
271,vyartsilya,62.1764,30.693,-0.85,96,100,6.72,RU,1675048073
272,hakodate,41.7758,140.7367,-2.44,63,37,2.13,JP,1675048074
273,dingzhou,38.5131,114.9956,4.25,22,0,2.02,CN,1675048074
274,shimoda,34.6667,138.95,8.95,51,1,10.98,JP,1675048075
275,castro,-24.7911,-50.0119,16.29,96,100,1.11,BR,1675048076
276,vila praia de ancora,41.811,-8.8526,6.73,71,20,2.46,PT,1675048076
277,souillac,-20.5167,57.5167,25.91,80,100,1.52,MU,1675048077
278,siparia,10.1333,-61.5,22.12,80,5,3.31,TT,1675048077
279,pontes e lacerda,-15.2261,-59.3353,20.83,98,54,1.16,BR,1675047805
280,pisco,-13.7,-76.2167,23.03,83,0,5.14,PE,1675048078
281,tezu,27.9167,96.1667,24.52,25,4,0.92,IN,1675048078
282,beloha,-25.1667,45.05,21.99,97,46,1.92,MG,1675048079
283,tarabuco,-19.1667,-64.9167,9.61,87,91,1.29,BO,1675048080
284,bo phloi,14.3236,99.5161,22.03,32,14,7.47,TH,1675048081
285,the valley,18.217,-63.0578,23.94,75,10,9.33,AI,1675048081
286,rocha,-34.4833,-54.3333,19.4,90,58,2.28,UY,1675047921
287,salalah,17.0151,54.0924,18.05,42,40,4.63,OM,1675048082
288,itoman,26.1247,127.6694,17.21,45,75,6.17,JP,1675048083
289,yelizavetino,59.4916,29.7938,-0.68,96,100,6.6,RU,1675048084
290,najran,17.4924,44.1277,11.25,65,9,0.63,SA,1675048086
291,sinnamary,5.3833,-52.95,24.37,85,26,3.28,GF,1675048090
292,vamdrup,55.4276,9.2844,5.92,87,82,5.66,DK,1675048091
293,binga,-17.6203,27.3414,21.6,86,59,0.57,ZW,1675048092
294,qasigiannguit,68.8193,-51.1922,-7.86,69,100,4.48,GL,1675048093
295,uptar,59.75,150.9167,-14.9,73,100,4.93,RU,1675048095
296,noumea,-22.2763,166.4572,29.99,75,45,4.19,NC,1675047849
297,tasiilaq,65.6145,-37.6368,-7.91,91,100,4.07,GL,1675047796
298,lazaro cardenas,17.9583,-102.2,23.89,81,0,1.52,MX,1675048097
299,kapit,2.0167,112.9333,24.65,96,97,0.63,MY,1675048098
300,singapore,1.2897,103.8501,27.97,79,75,8.23,SG,1675048101
301,antofagasta,-23.65,-70.4,19.6,86,96,1.15,CL,1675047963
302,humberto de campos,-2.5983,-43.4611,23.16,94,24,1.79,BR,1675048103
303,chumikan,54.7183,135.315,-23.87,83,20,11.09,RU,1675048104
304,puerto baquerizo moreno,-0.9,-89.6,24.83,84,64,2.22,EC,1675048105
305,sao pedro,-22.5486,-47.9139,21.09,91,33,1.62,BR,1675048062
306,guigue,10.0853,-67.7792,19.19,96,16,1.99,VE,1675048106
307,detchino,54.8092,36.3075,-2.75,94,97,5.09,RU,1675048107
308,sitka,57.0531,-135.33,1.94,80,75,1.54,US,1675048108
309,kahului,20.8947,-156.47,23.8,81,40,5.14,US,1675048110
310,grand island,40.925,-98.342,-13.84,76,100,5.14,US,1675047921
311,liwonde,-15.0506,35.2035,21.14,96,88,0.37,MW,1675048114
312,gizo,-8.103,156.8419,26.56,83,100,2.6,SB,1675048116
313,yerbogachen,61.2767,108.0108,-15.18,97,99,1.71,RU,1675048121
314,diffa,13.3154,12.6113,24.42,15,36,3.55,NE,1675048122
315,iesolo,45.5331,12.6448,1.25,71,47,1.66,IT,1675048122
316,caraguatay,-26.6059,-54.7809,21.16,99,17,1.21,AR,1675048123
317,muros,42.7762,-9.0603,4.35,80,73,4.07,ES,1675048124
318,isangel,-19.55,169.2667,28.41,74,100,0.85,VU,1675048068
319,olafsvik,64.8945,-23.7142,-1.92,74,48,3.0,IS,1675048124
320,fortuna,40.5982,-124.1573,8.19,64,0,0.0,US,1675048125
321,mongo,12.1844,18.693,24.9,15,35,1.99,TD,1675048125
322,normandin,48.8333,-72.5321,-19.83,93,100,1.5,CA,1675048126
323,beira,-19.8436,34.8389,25.01,88,36,3.81,MZ,1675048126
324,brownsville,25.9018,-97.4975,22.83,96,0,6.69,US,1675048097
325,slave lake,55.2834,-114.769,-11.01,73,100,9.77,CA,1675048127
326,urubicha,-15.3833,-62.95,21.44,99,100,1.24,BO,1675048128
327,banepa,27.6298,85.5214,8.18,87,75,1.54,NP,1675047589
328,kirkwood,38.5834,-90.4068,-3.46,91,100,4.63,US,1675047893
329,churapcha,62.0025,132.4325,-41.06,95,81,0.78,RU,1675048128
330,mulchen,-37.7167,-72.2333,18.09,71,0,4.37,CL,1675048129
331,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,47,75,8.0,RU,1675048129
332,nivala,63.9167,24.9667,-0.73,97,100,4.12,FI,1675048130
333,stokmarknes,68.5646,14.9108,-0.02,69,100,1.54,NO,1675048131
334,vanimo,-2.6741,141.3028,28.84,73,60,2.29,PG,1675048131
335,nhulunbuy,-12.2333,136.7667,31.34,74,75,4.12,AU,1675048132
336,shahe,39.2708,113.5478,0.21,20,0,4.45,CN,1675048132
337,sharon,41.2331,-80.4934,1.53,94,100,4.63,US,1675047971
338,northam,51.0333,-4.2167,9.66,97,97,8.63,GB,1675048133
339,asfi,32.2994,-9.2372,9.22,68,0,4.62,MA,1675048133
340,wajir,1.7471,40.0573,22.0,79,49,4.72,KE,1675048133
341,port keats,-14.25,129.55,30.86,65,100,1.29,AU,1675048134
342,sokolo,14.7328,-6.1219,16.61,14,28,3.94,ML,1675048135
343,lithakia,37.7167,20.8333,2.65,75,36,3.7,GR,1675048135
344,poum,-20.2333,164.0167,26.64,71,4,7.02,NC,1675048136
345,hamilton,39.1834,-84.5333,4.13,94,100,1.79,US,1675047631
346,ilembula,-8.9,34.5833,15.28,94,2,2.83,TZ,1675048136
347,shingu,33.7333,135.9833,8.75,51,21,7.1,JP,1675048137
348,sangar,63.9242,127.4739,-41.61,94,46,0.98,RU,1675048137
349,consolacion del sur,22.5047,-83.5136,20.22,88,2,2.11,CU,1675048138
350,provideniya,64.3833,-173.3,-0.94,86,100,7.0,RU,1675048138
351,paducah,37.0834,-88.6001,4.05,97,100,4.12,US,1675048138
352,develi,38.3906,35.4922,-2.36,88,92,0.05,TR,1675048139
353,linden,6.0,-58.3,20.19,92,5,1.14,GY,1675048139
354,general roca,-39.0333,-67.5833,29.23,23,0,10.04,AR,1675047773
355,vila franca do campo,37.7167,-25.4333,12.23,78,26,3.45,PT,1675048140
356,samarai,-10.6167,150.6667,29.29,73,27,4.08,PG,1675048141
357,ossora,59.2353,163.0719,-0.57,92,100,11.95,RU,1675048141
358,campeche,19.0,-90.5,23.5,61,13,1.63,MX,1675048145
359,tateyama,34.9833,139.8667,9.38,46,3,10.44,JP,1675048146
360,port-gentil,-0.7193,8.7815,27.04,80,44,3.84,GA,1675048147
361,belmonte,-15.8631,-38.8828,24.46,82,2,2.61,BR,1675048148
362,sainte-martine,45.2501,-73.7992,-13.55,98,84,2.09,CA,1675048149
